,Winner,Pegs removed
48,2,"[[(3, 0), (3, 3)], [(0, 2), (2, 2)], [(2, 3)], [(1, 4), (4, 4)], [(1, 2)], [(0, 0)], [(2, 1)], [(4, 0)]]"
49,2,"[[(3, 3), (2, 3)], [(0, 0)], [(4, 4)], [(2, 2)], [(1, 2)], [(0, 2)], [(2, 1)], [(3, 0)], [(1, 4)], [(4, 0)]]"
50,2,"[[(3, 3), (2, 3)], [(4, 0)], [(1, 2)], [(2, 1)], [(0, 2)], [(2, 2)], [(3, 0), (0, 0)], [(1, 4), (4, 4)]]"
51,1,"[[(1, 2)], [(3, 0)], [(4, 4), (1, 4)], [(3, 3), (2, 3)], [(2, 2)], [(0, 0)], [(0, 2)], [(2, 1)], [(4, 0)]]"
52,2,"[[(0, 0), (0, 2)], [(4, 4)], [(2, 1)], [(2, 3)], [(4, 0)], [(1, 2)], [(1, 4)], [(3, 0)], [(2, 2)], [(3, 3)]]"
53,2,"[[(0, 2)], [(2, 2)], [(1, 4)], [(4, 4)], [(1, 2)], [(3, 3), (2, 3)], [(2, 1)], [(0, 0), (3, 0), (4, 0)]]"
54,1,"[[(0, 2)], [(3, 3)], [(3, 0)], [(2, 3), (2, 1)], [(2, 2)], [(1, 4)], [(0, 0), (4, 0)], [(4, 4)], [(1, 2)]]"
55,1,"[[(4, 0), (4, 4)], [(2, 3), (2, 1), (2, 2)], [(3, 3)], [(0, 0)], [(3, 0)], [(0, 2)], [(1, 2), (1, 4)]]"
56,1,"[[(4, 4), (4, 0)], [(2, 1)], [(3, 3), (2, 3)], [(0, 2)], [(1, 4)], [(3, 0)], [(1, 2)], [(2, 2)], [(0, 0)]]"
57,1,"[[(0, 2), (2, 2), (1, 2)], [(1, 4)], [(4, 4)], [(3, 3), (2, 3)], [(0, 0)], [(2, 1)], [(3, 0), (4, 0)]]"
58,2,"[[(4, 0), (4, 4)], [(3, 3), (3, 0)], [(1, 4)], [(1, 2)], [(2, 1)], [(2, 3)], [(0, 0)], [(0, 2), (2, 2)]]"
59,1,"[[(2, 3), (3, 3)], [(4, 4)], [(1, 4)], [(3, 0)], [(2, 1), (2, 2)], [(1, 2), (0, 2)], [(0, 0), (4, 0)]]"
60,2,"[[(2, 3)], [(3, 0)], [(3, 3)], [(2, 1), (2, 2)], [(4, 0), (0, 0)], [(0, 2)], [(1, 2)], [(1, 4), (4, 4)]]"
61,2,"[[(4, 4)], [(1, 4)], [(3, 3)], [(0, 2)], [(4, 0)], [(3, 0)], [(2, 1)], [(1, 2), (2, 2)], [(0, 0)], [(2, 3)]]"
62,1,"[[(4, 0)], [(1, 4), (4, 4)], [(0, 2), (0, 0)], [(2, 3), (2, 2)], [(1, 2)], [(2, 1)], [(3, 0), (3, 3)]]"
63,2,"[[(1, 2)], [(2, 1)], [(2, 3), (2, 2)], [(0, 0), (3, 0), (4, 0)], [(3, 3)], [(1, 4)], [(0, 2)], [(4, 4)]]"
64,2,"[[(4, 0)], [(3, 0)], [(0, 2), (0, 0)], [(1, 4)], [(4, 4)], [(2, 3), (3, 3)], [(1, 2)], [(2, 1), (2, 2)]]"
65,2,"[[(1, 4)], [(4, 4), (4, 0)], [(1, 2)], [(0, 2)], [(2, 3)], [(3, 0)], [(2, 1)], [(3, 3)], [(2, 2)], [(0, 0)]]"
66,2,"[[(0, 0), (0, 2)], [(3, 3), (2, 3)], [(1, 4), (4, 4)], [(2, 2), (1, 2)], [(2, 1)], [(3, 0), (4, 0)]]"
67,1,"[[(2, 3)], [(4, 0), (4, 4)], [(2, 2), (1, 2)], [(3, 3)], [(1, 4)], [(3, 0)], [(0, 2)], [(2, 1)], [(0, 0)]]"
68,1,"[[(1, 2), (2, 2)], [(3, 3)], [(1, 4), (4, 4)], [(0, 0)], [(0, 2)], [(2, 3), (2, 1)], [(3, 0), (4, 0)]]"
69,2,"[[(0, 2), (1, 2)], [(2, 2)], [(2, 1)], [(1, 4)], [(2, 3)], [(4, 4)], [(3, 3)], [(0, 0), (3, 0), (4, 0)]]"
70,1,"[[(2, 1)], [(1, 2), (2, 2)], [(4, 0), (3, 0)], [(0, 0)], [(1, 4)], [(4, 4)], [(2, 3)], [(0, 2)], [(3, 3)]]"
71,2,"[[(2, 2)], [(2, 3), (3, 3)], [(2, 1)], [(0, 0), (0, 2)], [(3, 0)], [(4, 0)], [(4, 4)], [(1, 2), (1, 4)]]"
72,1,"[[(4, 4), (4, 0)], [(2, 1)], [(2, 2), (1, 2), (0, 2)], [(1, 4)], [(0, 0)], [(3, 0)], [(2, 3), (3, 3)]]"
73,1,"[[(0, 0), (3, 0), (4, 0)], [(2, 1)], [(4, 4)], [(2, 2), (2, 3)], [(1, 2), (1, 4)], [(3, 3)], [(0, 2)]]"
74,1,"[[(1, 4), (1, 2)], [(0, 0)], [(0, 2)], [(2, 1)], [(2, 2)], [(3, 3)], [(2, 3)], [(3, 0)], [(4, 0), (4, 4)]]"
75,1,"[[(2, 2), (2, 3), (2, 1)], [(1, 4), (4, 4)], [(0, 0), (0, 2)], [(4, 0)], [(3, 3)], [(1, 2)], [(3, 0)]]"
76,1,"[[(4, 0), (4, 4)], [(0, 0), (3, 0)], [(1, 4)], [(2, 3)], [(2, 1)], [(3, 3)], [(0, 2), (1, 2), (2, 2)]]"
77,1,"[[(2, 1)], [(3, 0), (0, 0)], [(4, 0)], [(1, 2)], [(2, 3), (2, 2)], [(0, 2)], [(4, 4)], [(3, 3)], [(1, 4)]]"
78,2,"[[(0, 2), (0, 0)], [(2, 2)], [(3, 0)], [(1, 4)], [(2, 1)], [(4, 0)], [(1, 2)], [(2, 3)], [(3, 3)], [(4, 4)]]"
79,1,"[[(3, 0), (3, 3)], [(1, 4)], [(1, 2)], [(0, 0)], [(2, 3)], [(4, 4)], [(4, 0)], [(0, 2), (2, 2)], [(2, 1)]]"
80,2,"[[(1, 2)], [(2, 3)], [(2, 1)], [(0, 0)], [(4, 0)], [(4, 4)], [(3, 0)], [(1, 4)], [(0, 2), (2, 2)], [(3, 3)]]"
81,1,"[[(0, 2)], [(2, 1)], [(0, 0)], [(3, 3)], [(2, 2), (2, 3)], [(4, 4), (1, 4)], [(3, 0)], [(4, 0)], [(1, 2)]]"
82,2,"[[(3, 3), (3, 0)], [(4, 0), (4, 4)], [(0, 0)], [(1, 4)], [(2, 1)], [(1, 2)], [(2, 3)], [(0, 2), (2, 2)]]"
83,2,"[[(1, 2), (0, 2)], [(3, 3), (3, 0)], [(0, 0), (4, 0)], [(1, 4)], [(2, 3)], [(2, 1)], [(2, 2)], [(4, 4)]]"
84,1,"[[(2, 3), (3, 3)], [(4, 4)], [(0, 0), (0, 2)], [(3, 0), (4, 0)], [(2, 1)], [(1, 4), (1, 2)], [(2, 2)]]"
85,1,"[[(4, 0)], [(3, 0), (0, 0)], [(1, 4)], [(2, 3), (3, 3)], [(2, 1), (2, 2)], [(0, 2), (1, 2)], [(4, 4)]]"
86,1,"[[(2, 1)], [(2, 3)], [(4, 4)], [(3, 0)], [(3, 3)], [(0, 0)], [(1, 4)], [(0, 2), (2, 2), (1, 2)], [(4, 0)]]"
87,1,"[[(2, 1)], [(2, 2), (0, 2)], [(4, 4), (4, 0)], [(3, 0)], [(3, 3)], [(1, 2)], [(1, 4)], [(2, 3)], [(0, 0)]]"
88,1,"[[(4, 0)], [(2, 1)], [(1, 2), (1, 4)], [(4, 4)], [(3, 3), (3, 0)], [(2, 2), (2, 3)], [(0, 0), (0, 2)]]"
89,2,"[[(3, 0), (3, 3)], [(1, 4), (4, 4)], [(0, 0)], [(2, 3)], [(4, 0)], [(1, 2)], [(2, 2), (2, 1)], [(0, 2)]]"
90,1,"[[(2, 3)], [(0, 2)], [(0, 0)], [(2, 2)], [(2, 1)], [(4, 0)], [(3, 0)], [(4, 4)], [(1, 4)], [(1, 2)], [(3, 3)]]"
91,1,"[[(1, 2), (1, 4)], [(2, 3)], [(3, 0), (0, 0), (4, 0)], [(3, 3)], [(0, 2)], [(4, 4)], [(2, 1), (2, 2)]]"
92,2,"[[(2, 3), (3, 3)], [(0, 0)], [(1, 4), (4, 4)], [(0, 2)], [(3, 0)], [(1, 2)], [(4, 0)], [(2, 1), (2, 2)]]"
93,2,"[[(2, 2), (0, 2), (1, 2)], [(2, 1)], [(1, 4)], [(0, 0)], [(4, 4)], [(4, 0)], [(3, 3), (3, 0)], [(2, 3)]]"
94,1,"[[(3, 3), (2, 3)], [(2, 1)], [(0, 2), (0, 0)], [(3, 0)], [(4, 0), (4, 4)], [(1, 2), (2, 2)], [(1, 4)]]"
95,1,"[[(3, 0), (3, 3)], [(2, 3)], [(1, 2), (1, 4)], [(2, 1), (2, 2)], [(0, 2)], [(0, 0)], [(4, 0), (4, 4)]]"
96,2,"[[(1, 4), (4, 4)], [(1, 2)], [(0, 2)], [(2, 3), (2, 1)], [(2, 2)], [(4, 0)], [(3, 3)], [(0, 0), (3, 0)]]"
97,2,"[[(3, 0)], [(3, 3)], [(0, 0), (0, 2)], [(2, 3)], [(2, 2), (2, 1)], [(1, 2)], [(1, 4)], [(4, 0), (4, 4)]]"
98,1,"[[(3, 3), (3, 0)], [(2, 1), (2, 2)], [(2, 3)], [(0, 0)], [(4, 0)], [(0, 2)], [(1, 4)], [(1, 2)], [(4, 4)]]"
99,1,"[[(2, 3), (2, 1), (2, 2)], [(3, 3)], [(3, 0)], [(0, 2)], [(1, 4)], [(4, 0)], [(0, 0)], [(1, 2)], [(4, 4)]]"
100,1,"[[(2, 2), (2, 1), (2, 3)], [(3, 3)], [(4, 0), (4, 4)], [(0, 2)], [(0, 0)], [(3, 0)], [(1, 2), (1, 4)]]"
101,2,"[[(1, 4)], [(1, 2)], [(2, 1)], [(3, 0)], [(2, 2), (2, 3)], [(4, 4)], [(4, 0)], [(0, 0)], [(0, 2)], [(3, 3)]]"
102,1,"[[(2, 1), (2, 3), (2, 2)], [(3, 0)], [(3, 3)], [(0, 2)], [(4, 0), (0, 0)], [(1, 2)], [(1, 4), (4, 4)]]"
103,1,"[[(3, 3), (2, 3)], [(2, 1)], [(4, 0)], [(4, 4)], [(0, 2), (2, 2)], [(1, 4), (1, 2)], [(0, 0), (3, 0)]]"
104,2,"[[(2, 1)], [(4, 4), (4, 0)], [(0, 0)], [(3, 3), (3, 0)], [(1, 4)], [(0, 2)], [(2, 3)], [(1, 2), (2, 2)]]"
105,2,"[[(2, 2)], [(0, 0)], [(2, 3)], [(3, 3)], [(2, 1)], [(1, 2)], [(0, 2)], [(3, 0)], [(4, 0)], [(1, 4), (4, 4)]]"
106,2,"[[(0, 0), (0, 2)], [(1, 4), (4, 4)], [(3, 0), (3, 3)], [(1, 2)], [(4, 0)], [(2, 1), (2, 2), (2, 3)]]"
107,1,"[[(2, 1)], [(3, 3)], [(4, 4), (1, 4)], [(3, 0)], [(2, 3)], [(0, 0), (4, 0)], [(0, 2), (1, 2), (2, 2)]]"
108,2,"[[(1, 4)], [(4, 0), (0, 0), (3, 0)], [(4, 4)], [(1, 2)], [(2, 1)], [(2, 2), (2, 3)], [(3, 3)], [(0, 2)]]"
109,1,"[[(4, 4), (1, 4)], [(0, 2)], [(0, 0), (3, 0)], [(4, 0)], [(1, 2)], [(3, 3)], [(2, 1), (2, 2), (2, 3)]]"
110,2,"[[(3, 3), (2, 3)], [(2, 1)], [(1, 2), (0, 2), (2, 2)], [(4, 4)], [(1, 4)], [(0, 0), (3, 0), (4, 0)]]"
111,2,"[[(4, 4), (4, 0)], [(2, 2)], [(2, 1)], [(3, 0), (0, 0)], [(2, 3)], [(3, 3)], [(0, 2)], [(1, 2), (1, 4)]]"
112,2,"[[(4, 4)], [(3, 0), (4, 0), (0, 0)], [(3, 3)], [(2, 2), (2, 1), (2, 3)], [(1, 4)], [(0, 2), (1, 2)]]"
113,2,"[[(3, 3), (3, 0)], [(1, 4), (4, 4)], [(1, 2)], [(2, 2), (2, 3), (2, 1)], [(0, 2)], [(0, 0), (4, 0)]]"
114,1,"[[(4, 4)], [(1, 4)], [(4, 0)], [(1, 2)], [(0, 2)], [(2, 1), (2, 3)], [(3, 0), (0, 0)], [(3, 3)], [(2, 2)]]"
115,1,"[[(3, 3)], [(0, 2), (0, 0)], [(4, 0), (4, 4)], [(3, 0)], [(1, 4)], [(2, 2), (2, 1), (2, 3)], [(1, 2)]]"
116,2,"[[(2, 3), (3, 3)], [(1, 4), (1, 2)], [(2, 2)], [(2, 1)], [(4, 0)], [(0, 0), (0, 2)], [(4, 4)], [(3, 0)]]"
117,1,"[[(2, 3), (2, 1)], [(4, 0), (4, 4)], [(3, 0)], [(3, 3)], [(1, 4)], [(0, 0), (0, 2)], [(1, 2), (2, 2)]]"
118,1,"[[(3, 0)], [(4, 4), (1, 4)], [(2, 1), (2, 3), (2, 2)], [(1, 2)], [(3, 3)], [(0, 0), (0, 2)], [(4, 0)]]"
119,2,"[[(3, 3), (2, 3)], [(4, 4)], [(1, 4)], [(2, 1)], [(2, 2), (1, 2)], [(0, 0), (4, 0)], [(0, 2)], [(3, 0)]]"
120,2,"[[(1, 4), (1, 2)], [(3, 3), (3, 0)], [(2, 3)], [(4, 4), (4, 0)], [(0, 2), (0, 0)], [(2, 1), (2, 2)]]"
121,1,"[[(4, 4), (1, 4)], [(2, 1)], [(3, 3), (3, 0)], [(0, 2)], [(0, 0), (4, 0)], [(2, 2), (1, 2)], [(2, 3)]]"
122,2,"[[(3, 3)], [(1, 2), (1, 4)], [(2, 1)], [(2, 2), (2, 3)], [(0, 0)], [(0, 2)], [(4, 4)], [(3, 0), (4, 0)]]"
123,1,"[[(4, 0)], [(2, 2), (1, 2), (0, 2)], [(2, 1)], [(4, 4)], [(1, 4)], [(0, 0), (3, 0)], [(2, 3), (3, 3)]]"
124,1,"[[(3, 0), (3, 3)], [(1, 4)], [(0, 0), (4, 0)], [(2, 2)], [(2, 3)], [(1, 2)], [(2, 1)], [(0, 2)], [(4, 4)]]"
125,2,"[[(0, 0)], [(3, 3)], [(1, 4), (1, 2)], [(4, 4)], [(2, 1)], [(0, 2)], [(2, 3), (2, 2)], [(3, 0), (4, 0)]]"
126,1,"[[(3, 0), (3, 3)], [(2, 1)], [(2, 3)], [(2, 2), (0, 2)], [(0, 0), (4, 0)], [(1, 4), (1, 2)], [(4, 4)]]"
127,2,"[[(0, 0), (0, 2)], [(3, 0), (3, 3)], [(2, 1)], [(1, 2), (1, 4)], [(4, 4)], [(2, 2)], [(2, 3)], [(4, 0)]]"
128,1,"[[(1, 4)], [(3, 3), (2, 3)], [(4, 0), (0, 0)], [(2, 1)], [(3, 0)], [(0, 2)], [(2, 2)], [(1, 2)], [(4, 4)]]"
129,2,"[[(3, 0)], [(2, 2), (2, 1)], [(3, 3), (2, 3)], [(4, 4), (1, 4)], [(0, 2), (1, 2)], [(0, 0), (4, 0)]]"
130,1,"[[(1, 4), (4, 4)], [(2, 1)], [(3, 0)], [(3, 3)], [(2, 3)], [(0, 2)], [(0, 0)], [(4, 0)], [(1, 2), (2, 2)]]"
131,2,"[[(0, 0), (3, 0), (4, 0)], [(2, 3), (3, 3)], [(2, 1)], [(4, 4)], [(0, 2)], [(1, 2)], [(2, 2)], [(1, 4)]]"
132,2,"[[(3, 0)], [(4, 0)], [(0, 0)], [(2, 1)], [(1, 4), (1, 2)], [(2, 3)], [(0, 2)], [(4, 4)], [(3, 3)], [(2, 2)]]"
133,2,"[[(3, 0)], [(0, 2), (0, 0)], [(2, 3)], [(1, 4), (1, 2)], [(4, 0)], [(3, 3)], [(2, 2), (2, 1)], [(4, 4)]]"
134,1,"[[(3, 3), (3, 0)], [(1, 2)], [(2, 1)], [(0, 2)], [(2, 2)], [(2, 3)], [(0, 0)], [(4, 0)], [(1, 4), (4, 4)]]"
135,2,"[[(0, 0), (0, 2)], [(3, 3)], [(2, 1)], [(2, 2)], [(2, 3)], [(1, 2)], [(1, 4), (4, 4)], [(3, 0), (4, 0)]]"
136,1,"[[(4, 4), (4, 0)], [(1, 4), (1, 2)], [(3, 0)], [(2, 1)], [(0, 0)], [(2, 3), (3, 3)], [(0, 2), (2, 2)]]"
137,2,"[[(3, 0)], [(0, 0), (0, 2)], [(2, 2), (2, 3)], [(1, 4), (4, 4)], [(4, 0)], [(2, 1)], [(1, 2)], [(3, 3)]]"
138,1,"[[(2, 3), (2, 1)], [(3, 3)], [(1, 2), (2, 2)], [(3, 0)], [(1, 4)], [(0, 2)], [(4, 0)], [(4, 4)], [(0, 0)]]"
139,1,"[[(3, 3), (2, 3)], [(1, 4)], [(4, 4)], [(3, 0)], [(0, 2)], [(2, 1)], [(1, 2)], [(4, 0), (0, 0)], [(2, 2)]]"
140,2,"[[(2, 1)], [(2, 2), (2, 3)], [(1, 4), (4, 4)], [(3, 3)], [(0, 0), (0, 2)], [(4, 0)], [(1, 2)], [(3, 0)]]"
141,2,"[[(1, 4), (4, 4)], [(3, 0), (3, 3)], [(4, 0)], [(0, 0)], [(2, 2), (0, 2), (1, 2)], [(2, 1), (2, 3)]]"
142,2,"[[(4, 4)], [(1, 4)], [(2, 1), (2, 2)], [(3, 3), (2, 3)], [(3, 0), (0, 0), (4, 0)], [(0, 2), (1, 2)]]"
143,1,"[[(0, 0), (4, 0), (3, 0)], [(3, 3)], [(0, 2)], [(2, 3)], [(2, 1), (2, 2)], [(1, 2)], [(1, 4), (4, 4)]]"
144,1,"[[(0, 2), (0, 0)], [(4, 4)], [(2, 1)], [(1, 2), (1, 4)], [(4, 0)], [(3, 0), (3, 3)], [(2, 2), (2, 3)]]"
145,2,"[[(3, 3)], [(2, 1)], [(3, 0)], [(0, 0)], [(4, 4), (4, 0)], [(1, 4), (1, 2)], [(0, 2)], [(2, 2), (2, 3)]]"
146,2,"[[(0, 0), (0, 2)], [(2, 3)], [(3, 3)], [(3, 0)], [(4, 4), (4, 0)], [(1, 4)], [(2, 2), (1, 2)], [(2, 1)]]"
147,2,"[[(0, 0), (0, 2)], [(3, 0)], [(4, 0)], [(1, 2)], [(4, 4)], [(2, 1)], [(3, 3)], [(2, 3)], [(2, 2)], [(1, 4)]]"
148,2,"[[(4, 4)], [(3, 3), (3, 0)], [(1, 2), (1, 4)], [(2, 1)], [(4, 0)], [(2, 2)], [(0, 2), (0, 0)], [(2, 3)]]"
149,2,"[[(0, 2), (0, 0)], [(3, 0)], [(3, 3)], [(4, 4), (4, 0)], [(1, 4), (1, 2)], [(2, 1), (2, 2), (2, 3)]]"
150,1,"[[(0, 0), (0, 2)], [(4, 0)], [(2, 1)], [(2, 3)], [(3, 3)], [(4, 4)], [(1, 4)], [(3, 0)], [(1, 2), (2, 2)]]"
151,1,"[[(2, 1), (2, 3), (2, 2)], [(4, 4)], [(3, 3)], [(0, 2)], [(1, 4)], [(1, 2)], [(0, 0), (3, 0), (4, 0)]]"
152,2,"[[(2, 2)], [(0, 0)], [(4, 4), (4, 0)], [(0, 2)], [(1, 2), (1, 4)], [(2, 3)], [(3, 3), (3, 0)], [(2, 1)]]"
